,Altitude,Distance,Narrative,Report,Summary
0,2500,9,F/O FLYING ACFT FROM LEFT SEAT. BLUE AND WHITE SMA APPEARED FROM BEHIND LEFT DOOR POST. SMA WAS LEVEL WITH AND APCHING FROM HELI 10 O'CLOCK POS. PF SPOTTED SMA; ALERTED OTHER PLT WHILE MAKING RIGHT EVASIVE TURN. CAPT INITIATED IMMEDIATE DES; F/O CONTINUED TO FLY THE ACFT. SMA PASSED DIRECTLY OVER HELI WITH VERT SEP OF 150'. HELI CREWMEMBERS DID NOT OBSERVE ANY ATTITUDE; HDG OR ALT CHANGE IN THE SMA. FLT CONTINUED TO JFK W/O INCIDENT.,helicopt encount sma acft IN see avoid situat . took evas action . f/o fli acft left seat . blue white sma appear behind left door post . sma wa level apch heli 10 o'clock po . PF spot sma ; alert other plt make right evas turn . capt initi immedi de ; f/o continu TO fli acft . sma pass directli over heli vert sep OF 150 ' . heli crewmemb did not observ ani attitud ; hdg OR alt chang IN sma . flt continu TO jfk w/o incid . ,HELICOPTER ENCOUNTERED SMA ACFT IN SEE AND AVOID SITUATION. TOOK EVASIVE ACTION.
1,4500,22,WHILE LEVEL AT 4500'; HDG 246 DEGS ON VICTOR 106 DIRECTLY INTO THE SUN; BRADLEY APCH CTL INSTRUCTED ME TO 'TURN RIGHT HDG 330 DEGS FOR VECTORS AROUND TFC.' WHILE TURNING RIGHT FROM A HDG OF 246 DEGS TO HDG 330 DEGS; WELL INTO THE RIGHT HAND TURN; THE CONVERGING TFC APPEARED; TAKING UP THE MAJORITY OF THE WINDSHIELD OF THE SMA I WAS FLYING; APPROX 20-30 YDS AWAY. I TOOK EVASIVE ACTION BY EXECUTING A QUICK CLBING RIGHT TURN. IT APPEARED THE SMT TOOK NO EVASIVE ACTION IN THIS INCIDENT. I BELIEVED THE SITUATION OCCURRED BECAUSE OF THE LIMITED VIS DUE TO THE SUN AND BECAUSE OF THE VECTOR BRADLEY APCH ISSUED ME. THE ALTIMETER SETTING I WAS GIVEN WAS 30-59 (BY BRADLEY); THE SMT WAS SAID TO BE VFR. I WAS SHOWING A LNDG LIGHT AT THE TIME AND I WAS TRANSPONDER EQUIPPED WITH MODE C. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING: THE RPTR FILED A NEAR MISS RPT WITH THE FAA AND HAS BEEN ADVISED THEY ARE CONTACTING THE OTHER PLT. RPTR HAS ALSO SENT A LETTER REQUESTING THE RESULTS OF THEIR INVESTIGATION. RPTR SAID HE MADE A STANDARD RATE TURN TO THE HDG ASSIGNED BY BDL AS SOON AS IT WAS GIVEN BUT DID NOT TRY TO TALK TO BDL ABOUT WHY THEY GAVE THE VECTOR.,close prox ga-sma ga-smt ON v106 . level AT 4500 ' ; hdg 246 deg ON victor 106 directli into sun ; bradley apch ctl instruct ME TO 'turn right hdg 330 deg vector around tfc . ' turn right A hdg OF 246 deg TO hdg 330 deg ; well into right hand turn ; converg tfc appear ; take UP major OF windshield OF sma I wa fli ; approx 20-30 yd away . I took evas action BY execut A quick clbing right turn . IT appear smt took NO evas action IN thi incid . I believ situat occur becaus OF limit vi due TO sun becaus OF vector bradley apch issu ME . altimet set I wa given wa 30-59 ( BY bradley ) ; smt wa said TO BE vfr . I wa show A lndg light AT time I wa transpond equip mode C. callback convers rptr reveal : rptr file A near miss rpt faa ha been advis they are contact other plt . rptr ha also sent A letter request result OF their investig . rptr said HE made A standard rate turn TO hdg assign BY bdl AS soon AS IT wa given but did not tri TO talk TO bdl about whi they gave vector . ,CLOSE PROX GA-SMA GA-SMT ON V106.
2,800,2,I WAS INVOLVED IN A NMAC WHILE ON FINAL APCH TO RWY 24 AT PYM. I WAS CONDUCTING A PLT CHK FLT WITH A PVT PLT WISHING TO HAVE RENTAL PRIVILEGES AT THE FBO/FLT SCHOOL WHERE I AM A PART TIME CFI. I CAN ONLY ASSUME I WAS INVOLVED IN A MIDAIR NEAR MISS BECAUSE I NEVER HAD THE OTHER ACFT IN SIGHT. BUT; I ASSUME IT DID HAPPEN BASED ON THE STATEMENT OF THE PLT OF THE OTHER ACFT. WHILE TAXIING TO THE ACTIVE RWY I ATTEMPTED TO CONFIRM WITH THE PLYMOUTH UNICOM THAT THE ACFT RADIO WAS OPERATING PROPERLY. I NEVER RECEIVED A RESPONSE FROM THEM TO MY REQUEST FOR A RADIO CHK. I ASSUMED THE ACFT RADIO WAS NOT TRANSMITTING BUT DECIDED TO CONTINUE THE FLT SINCE USE OF A RADIO IS NOT REQUIRED AT UNCTLED ARPTS. TO HELP PLTS SEE US BETTER; I TURNED ON THE ACFT'S NAV; STROBE AND LNDG LIGHTS AND LEFT THEM ON THROUGHOUT THE FLT. ALSO; I DID BROADCAST MY POS ANYWAY WHILE OPERATING IN THE TFC PATTERN. DURING THE THIRD LNDG WE TURNED; AND AFTER BEING ESTABLISHED ON A BASE LEG I HEARD THE PLT OF AN SMA Y BROADCAST HE WAS ALSO ON BASE. I BEGAN TO LOOK FOR HIM. ONCE MY ACFT WAS ON FINAL; A FEW SECS LATER; I HEARD HIM BROADCAST THAT HE WAS GOING AROUND. AT THIS POINT I STILL DID NOT SEE SMA Y AND PROCEEDED WITH THE LNDG. ONCE ON THE RAMP AND AFTER HE SHUT DOWN; HE CAME OVER TO ME AND EXPLAINED HOW CLOSE WE HAD COME. HE ALSO TOLD ME THAT I SHOT OUT FROM UNDER HIM. SINCE WE WERE BOTH FLYING LOW WINGED ACFT; I CAN ONLY COME UP WITH ONE EXPLANATION. IF I WAS UNDER AND BEHIND HIM; I WOULD HAVE HAD TO SEE HIM. MY EXPLANATION IS THAT WE WERE ALREADY ON FINAL AND PROCEEDING TOWARD THE RWY AT ABOUT 70 KTS; THE FINAL APCH SPD OF SMA Y IS 63 KTS. THE SMA X WITH AN APCH SPD RECOMMENDED BY ACFT MFTR IS 75 KTS; WAS TURNING BASE TO FINAL. OUR SPD TOWARD THE RWY WOULD CERTAINLY SEEM LIKE WE OVERTOOK THE ACFT; BUT AT THAT TIME WE WOULD HAVE BEEN TRAVELING IN DIFFERENT DIRECTIONS. FORTUNATELY NO ACCIDENT OCCURRED. SINCE MY ACFT WAS UNDER THE SMA Y AND ON FINAL WE HAD THE RIGHT OF WAY. THE PLT OF THE SMA Y RPTED A NMAC RPT WITH THE NE FSDO OFFICE. SINCE I WAS IN THE RIGHT SEAT; THE BASE TO FINAL TURN WOULD HAVE POSITIONED THE ROOF OF THE SMA X TO BLOCK ANY TFC ABOVE US. OUR APCH SPDS WERE APPROX 70 KTS OR LOWER; SINCE I INSIST ON THIS WITH STUDENTS AND WAS PAYING PARTICULAR ATTN TO HOW THE PVT PLT I WAS CHKING WAS HANDLING THE ACFT. ALL 3 TIMES WE FLEW THE TFC PATTERN PROPER ALTS; TURNS; ETC; WERE MADE,close prox 2 ga-sma acft IN traffic pattern AT plm . I wa involv IN A nmac ON final apch TO rwi 24 AT pym . I wa conduct A plt chk flt A pvt plt wish TO have rental privileg AT fbo/flt school where I AM A part time cfi . I can onli assum I wa involv IN A midair near miss becaus I never other acft IN sight . but ; I assum IT did happen base ON statement OF plt OF other acft . taxi TO activ rwi I attempt TO confirm plymouth unicom that acft radio wa oper properli . I never receiv A respons them TO MY request A radio chk . I assum acft radio wa not transmit but decid TO continu flt sinc use OF A radio IS not requir AT unctl arpt . TO help plt see US better ; I turn ON acft 'S nav ; strobe lndg light left them ON throughout flt . also ; I did broadcast MY po anyway oper IN tfc pattern . dure third lndg WE turn ; after be establish ON A base leg I heard plt OF AN sma Y broadcast HE wa also ON base . I began TO look him . onc MY acft wa ON final ; A few sec later ; I heard him broadcast that HE wa go around . AT thi point I still did not see sma Y proceed lndg . onc ON ramp after HE shut down ; HE came over TO ME explain how close WE come . HE also told ME that I shot out under him . sinc WE both fli low wing acft ; I can onli come UP one explan . IF I wa under behind him ; I would have TO see him . MY explan IS that WE alreadi ON final proceed toward rwi AT about 70 kt ; final apch spd OF sma Y IS 63 kt . sma X AN apch spd recommend BY acft mftr IS 75 kt ; wa turn base TO final . spd toward rwi would certainli seem like WE overtook acft ; but AT that time WE would have been travel IN differ direct . fortun NO accid occur . sinc MY acft wa under sma Y ON final WE right OF way . plt OF sma Y rpted A nmac rpt NE fsdo offic . sinc I wa IN right seat ; base TO final turn would have posit roof OF sma X TO block ani tfc abov US . apch spd approx 70 kt OR lower ; sinc I insist ON thi student wa pay particular attn TO how pvt plt I wa chking wa handl acft . all 3 time WE flew tfc pattern proper alt ; turn ; etc ; made ,CLOSE PROX 2 GA-SMA ACFT IN TRAFFIC PATTERN AT PLM.
3,3500,15,WHILE ON CROSS-COUNTRY VFR FROM ORANGE; MA TO HANSCOM (BED); HAD NEAR COLLISION WITH PARACHUTIST AT OR NEAR RESTR AREA R-4102 A&B AT FT DEVENS; MA. I HAD A FULL PREFLT BRIEFING FROM THE BRIDGEPORT FSS WITH NOTAMS APPROX 1 HR PRIOR TO DEP. NO NOTAMS INDICATED THAT R-4102 A&B WAS/WERE ACTIVE. NORMAL ACTIVE DAY IS SAT ONLY. MANY PLTS THINK THAT THERE CAN BE NO ACTIVITY IN AN INACTIVE RESTR AREA. THE LEGEND ON AERONAUTICAL CHARTS SHOULD REMIND PLTS THAT SOME CIVILIAN OR MIL OPS ARE STILL POSSIBLE EVEN IN AN INACTIVE RESTR AREA. NO ACCIDENT RESULTED IN THIS INCIDENT; BUT VERT DSNDING PARACHUTES ARE VERY DIFFICULT TO SIGHT AND AVOID. I WAS ABLE TO MAKE A SHALLOW BANKED TURN TO AVOID THE PARACHUTE.,close prox GA sma parachutist IN restrict area that wa advertis not activ . ON cross-countri vfr orang ; MA TO hanscom ( bed ) ; near collis parachutist AT OR near restr area r-4102 A & B AT FT deven ; MA . I A full preflt brief bridgeport fss notam approx 1 HR prior TO dep . NO notam indic that r-4102 A & B was/wer activ . normal activ day IS sat onli . mani plt think that there can BE NO activ IN AN inact restr area . legend ON aeronaut chart should remind plt that some civilian OR mil op are still possibl even IN AN inact restr area . NO accid result IN thi incid ; but vert dsnding parachut are veri difficult TO sight avoid . I wa abl TO make A shallow bank turn TO avoid parachut . ,CLOSE PROX GA SMA AND PARACHUTIST IN RESTRICTED AREA THAT WAS ADVERTISED NOT ACTIVE.
4,1800,2,UPON REACHING MADISON VOR WE REQUESTED CLRNC DIRECT TO PVD AND WERE ADVISED BY BOS CENTER THAT QUONSET WOULD ISSUE THAT CLRNC. WE CONTACTED QUONSET TRACON ON 133.85; REQUESTED AND WERE GRANTED 'DIRECT PVD.' AS OUR POS WAS SOMEWHAT S AND W OF THE ARPT; AND THE LNDG RWYS WERE 23L/23R; WE WERE GIVEN A VECTOR ON A 050 DEG HDG AND TOLD TO DSND TO 5000'; AT WHICH TIME ALL LNDG LIGHTS WERE ILLUMINATED. WE WERE THEN CLRED TO 2500'. UPON REACHING THE SITUATE RESERVOIR; APPROX 7 MI W OF THE ARPT; WE WERE TURNED OVER TO ANOTHER QUONSET CTLR ON 124.5. WE ADVISED THE CTLR THAT WE HAD THE ARPT IN SIGHT. HE TOLD US WE WERE CLRED FOR THE VISUAL TO RWY 23L AND TO STAY WITH HIM. AT THIS TIME; WE WERE ADVISED THAT THERE WAS TFC 2 MI N OF THE ARPT AT 1800'. NO FURTHER INFO ABOUT THIS ACFT WAS GIVEN. WE PROCEEDED INBND TO THE ARPT ON APPROX A 070 DEG HDG. AT THIS POINT WE WERE APPROX 1-2 NM W OF THE ARPT AND WERE UNABLE TO CONTACT THE CTLR WHO WAS TALKING TO ANOTHER ACFT. AT A POINT APPROX 2 MI N OF THE ARPT; AND ON APPROX A 075 DEG HDG; WE SAW SMA Y; APPARENTLY A TFC RPTR. AT THE TIME I SAW ACFT Y HE WAS AT OUR 12 O'CLOCK POS AND LESS THAN 1 MI; AT THE SAME ALT; OPP DIRECTION. WE ALTERED COURSE TO THE LEFT AND PASSED BY THE ACFT. AS SOON AS THIS HAD OCCURRED; QUONSET ADVISED US TO CONTACT PVD TWR FOR LNDG CLRNC. NO MENTION ABOUT ACFT Y. WHEN WE CAME UP ON THE TWR FREQ; 120.70; THE PLT OF Y WAS TALKING TO THE TWR ABOUT US. WE CALLED THE TWR; ADVISED THAT WE HAD JUST BEEN TURNED OVER TO HIM BY QUONSET. WE WERE CLRED TO LAND. AFTER LNDG; I CALLED BOTH PVD TWR AND QUONSET TRACON. THE TWR PERSONNEL SEEMED RATHER PUT OUT THAT QUONSET HAD NOT TURNED OUR FLT OVER TO THE TWR EARLIER. AT QUONSET TRACON I SPOKE TO THE WATCH SUPVR AND WAS ADVISED THAT A TRNEE HAD BEEN ON THE POS AND HAD BEEN RELIEVED SHORTLY AFTER THE INCIDENT.,standard separaton nmac between commut sma acft . oper error . upon reach madison vor WE request clrnc direct TO pvd advis BY bo center that quonset would issu that clrnc . WE contact quonset tracon ON 133.85 ; request grant 'direct pvd . ' AS po wa somewhat S W OF arpt ; lndg rwi 23l/23r ; WE given A vector ON A 050 deg hdg told TO dsnd TO 5000 ' ; AT which time all lndg light illumin . WE then clred TO 2500 ' . upon reach situat reservoir ; approx 7 MI W OF arpt ; WE turn over TO anoth quonset ctlr ON 124.5 . WE advis ctlr that WE arpt IN sight . HE told US WE clred visual TO rwi 23l TO stay him . AT thi time ; WE advis that there wa tfc 2 MI N OF arpt AT 1800 ' . NO further info about thi acft wa given . WE proceed inbnd TO arpt ON approx A 070 deg hdg . AT thi point WE approx 1-2 NM W OF arpt unabl TO contact ctlr who wa talk TO anoth acft . AT A point approx 2 MI N OF arpt ; ON approx A 075 deg hdg ; WE saw sma Y ; appar A tfc rptr . AT time I saw acft Y HE wa AT 12 o'clock po 1 MI ; AT same alt ; opp direct . WE alter cours TO left pass BY acft . AS soon AS thi occur ; quonset advis US TO contact pvd twr lndg clrnc . NO mention about acft Y . when WE came UP ON twr freq ; 120.70 ; plt OF Y wa talk TO twr about US . WE call twr ; advis that WE just been turn over TO him BY quonset . WE clred TO land . after lndg ; I call both pvd twr quonset tracon . twr personnel seem rather put out that quonset not turn flt over TO twr earlier . AT quonset tracon I spoke TO watch supvr wa advis that A trnee been ON po been reliev shortli after incid . ,LESS THAN STANDARD SEPARATON AND NMAC BETWEEN COMMUTER AND SMA ACFT. OPERATIONAL ERROR.
5,5000,2,THIS WAS AN AEROBATIC TRNING LESSON. OUR ACFT WAS JUST RECOVERING FROM A WING OVER (NOSE APPROX 10 DEGS BELOW HORIZON AND RISING; BANK APPROX 30 DEGS AND ROLLING OUT). AT THIS TIME MY STUDENT AND I SPOTTED THE SMT AT 12 O'CLOCK; GOING FROM RIGHT TO LEFT. HE WAS BEGINNING A RIGHT BANK. WE CONTINUED OUR RIGHT BANK AND PASSED WELL CLR. WHEN WE ARRIVED AT DISPATCH I WAS INFORMED THAT THE SMT HAD CALLED AND RPTED A NEAR MISS. HE ALSO COMPLAINED THAT WE WERE PRACTICING AEROBATICS IN A BUSY AREA. WE WERE CLR OF ALL ATA'S; TCA'S; CTL ZONES AND WERE MORE THAN 4 NM FROM THE NEAREST VICTOR ARWY. I DID NOT BELIEVE THIS WAS A NEAR MISS. NO UNUSUAL ACTION WAS REQUIRED TO AVOID THE SMT.,sma conduct acrobat train ha nmac smt . thi wa AN aerobat trning lesson . acft wa just recov A wing over ( nose approx 10 deg below horizon rise ; bank approx 30 deg roll out ) . AT thi time MY student I spot smt AT 12 o'clock ; go right TO left . HE wa begin A right bank . WE continu right bank pass well clr . when WE arriv AT dispatch I wa inform that smt call rpted A near miss . HE also complain that WE practic aerobat IN A busi area . WE clr OF all ata 'S ; tca 'S ; ctl zone more 4 NM nearest victor arwi . I did not believ thi wa A near miss . NO unusu action wa requir TO avoid smt . ,SMA CONDUCTING ACROBATIC TRAINING HAS NMAC WITH SMT.
6,4000,8,ENRTE BOS DIRECT MHT; RADAR VECTORS TO VISUAL APCH TO RWY 35 MHT; NORMAL FLT AND LNDG. ENRTE TO MCO WE RECEIVED AN ACARS MESSAGE FROM OUR OPS TO CALL MHT TWR UPON ARR IN MCO. THE CAPT DID SO AND WAS TOLD THAT A SAILPLANE IN TOW RPTED A NEAR MISS WITH US APPROX 8 MI SE OF MHT. HE WAS ALSO TOLD THAT THE TOW PLANE SAW AND RPTED NOTHING. FROM HIS (THE SAILPLANE PLT) RPT; WE ESTIMATE BEING 4000'. OUR FINAL CRUISE ALT FROM BOS WAS 7000' MSL. WE SAW NOTHING AND TOOK NO EVASIVE ACTION. I WOULD LIKE TO MENTION THAT THE CAPT DID RPT A SAILPLANE THAT HE SPOTTED WELL BELOW US--IN FACT; BELOW THE 3800' BROKEN LAYER WE WERE ABOVE AT A POINT INSIDE THE MHT CTL ZONE WHILE WE WERE ON A VECTOR FOR THE VISUAL APCH TO RWY 35 MHT. HE DID NOT SEE A TOWPLANE THOUGH; ONLY THE SAILPLANE. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING: FLT CREW HAS HEARD NOTHING FURTHER FROM THE INCIDENT. THE GLIDER PLT THAT FILED RPT SAID HE FELT THE JET WASH SO THAT COULD HAVE BEEN SOME DISTANCE AFTER JET PASSED. RPTR SAID GLIDER PLT MAY HAVE RECONSIDERED FILING NMAC AS WAS IN AREA WHERE DID NOT BELONG. THIS RPT WAS FILED IN CASE WE GET MORE FROM SAME AREA.,nmac between acr mlg glider . enrt bo direct mht ; radar vector TO visual apch TO rwi 35 mht ; normal flt lndg . enrt TO mco WE receiv AN acar messag op TO call mht twr upon arr IN mco . capt did SO wa told that A sailplan IN tow rpted A near miss US approx 8 MI SE OF mht . HE wa also told that tow plane saw rpted noth . hi ( sailplan plt ) rpt ; WE estim be 4000 ' . final cruis alt bo wa 7000 ' msl . WE saw noth took NO evas action . I would like TO mention that capt did rpt A sailplan that HE spot well below US -- IN fact ; below 3800 ' broken layer WE abov AT A point insid mht ctl zone WE ON A vector visual apch TO rwi 35 mht . HE did not see A towplan though ; onli sailplan . callback convers rptr reveal : flt crew ha heard noth further incid . glider plt that file rpt said HE felt jet wash SO that could have been some distanc after jet pass . rptr said glider plt may have reconsid file nmac AS wa IN area where did not belong . thi rpt wa file IN case WE get more same area . ,NMAC BETWEEN ACR MLG AND GLIDER.
7,10700,10,I WAS FLYING THE ACFT AT 11000' MSL LEVEL FLT AIRSPD 250 KTS. THE CAPT WAS WORKING THE RADIOS. ATC ADVISED; 'TFC 10-11 O'CLOCK; 6 MI; 10000' SWBOUND; UNVERIFIED.' OUR CREW THOUGHT IT STRANGE THAT THE TFC WAS NOT AT A VFR ALT. WE ALL LOOKED FOR THE TFC. ATC: 'TFC NOW (BROKEN XMISSION) MI 10500' TURNING WBOUND.' S/O OR JUMPSEAT RIDER: 'THERE; 11 O'CLOCK; JUST ABOVE THE HORIZON.' THE CAPT STATED; 'WATCH HIM; HE'S CLBING.' THE ACFT APPEARED TO BE A LIGHT TWIN ENG ACFT. ATC: '10700.' THE ACFT WAS WINGS LEVEL OFF THE LEFT SIDE OF OUR ACFT; AT WHAT LOOKED LIKE THE SAME ALT. I WAS ABOUT TO TAKE EVASIVE ACTION WHEN I SAW THE LIGHT TWIN MAKE A VERY STEEP RIGHT TURN. THE CAPT STATED; 'HE'S GOING TO MISS US!' THE ACFT PASSED OFF THE LEFT SIDE OF OUR ACFT. THE CAPT STATED TO BOS CENTER; 'DAMN; THAT WAS TOO CLOSE.' ATC RESPONDED THAT 'HE HOPED THE TARGET HAD US VISUALLY.' I FEEL BOS CENTER FELT; ON THE FIRST CALLOUT; THAT THERE WOULD NOT BE A CONFLICT WITH THE TFC. ATC REALIZED THE PROB WHEN THE TARGET TURNED WBOUND AND BEGAN TO CLB. I DON'T THINK ATC HAD TIME TO VECTOR US AWAY FROM THE TFC AND THAT HE DID THE PROPER THING BY KEEPING US INFORMED OF THE TARGET'S ALT AND HDG. SUPPLEMENTAL INFO FROM ACN 85767: ATC: '10700';' TARGET NOT IDENTED BY HEAD ON PROFILE AS A LIGHT TWIN; WINGS LEVEL AT LEFT SIDE OF MY WINDSHIELD AT OUR ALT. I REACHED FOR THE YOKE TO BREAK RIGHT; (F/O STATED LATER HE WAS ABOUT TO ALSO) BUT SAW THE TWIN MAKE A VERY STEEP RIGHT BANK; AND I STATED; 'HE'S GOING TO MISS US!' TWIN PASSED MY LEFT SLIDING WINDOW SHOWING US HIS UNDERSIDE. AS I FOLLOWED THE SMT Y LOOKING AFT; HE APPEARED TO LEVEL HIS WINGS AND APPEARED TO PASS BEHIND US. I STATED TO ATC; 'DAMN; THAT WAS TOO CLOSE;' AND ATC ANSWERED TO THE EFFECT THAT HE HAD HOPED THE TARGET HAD US VISUALLY. I BELIEVE THAT ATC FELT; THE SAME AS I DID; THAT ON THE FIRST CALLOUT THERE WOULD BE NO CONFLICT; (IE; THE SMT Y HDG SW WOULD PUT HIM FAR TO OUR RIGHT WHEN OUR PATHS CONVERGED). HE REALIZED THE PROB WHEN HE SAW THE TARGET TURN W AND CLB; BUT DID NOT HAVE TIME TO VECTOR US. I FEEL THAT HIS ACTION IN KEEPING US INFORMED WAS ABOUT ALL HE COULD DO.,lgt ON ifr arr rout wa given traffic ON unk-smt B who later took evas action miss lgt . I wa fli acft AT 11000 ' msl level flt airspd 250 kt . capt wa work radio . atc advis ; 'tfc 10-11 o'clock ; 6 MI ; 10000 ' swbound ; unverifi . ' crew thought IT strang that tfc wa not AT A vfr alt . WE all look tfc . atc : 'tfc now ( broken xmission ) MI 10500 ' turn wbound . ' s/o OR jumpseat rider : 'there ; 11 o'clock ; just abov horizon . ' capt state ; 'watch him ; HE 'S clbing . ' acft appear TO BE A light twin eng acft . atc : '10700 . ' acft wa wing level off left side OF acft ; AT what look like same alt . I wa about TO take evas action when I saw light twin make A veri steep right turn . capt state ; 'he 'S go TO miss US ! ' acft pass off left side OF acft . capt state TO bo center ; 'damn ; that wa too close . ' atc respond that 'he hope target US visual . ' I feel bo center felt ; ON first callout ; that there would not BE A conflict tfc . atc realiz prob when target turn wbound began TO clb . I DO n't think atc time TO vector US away tfc that HE did proper thing BY keep US inform OF target 'S alt hdg . supplement info acn 85767 : atc : '10700 ' ; ' target not ident BY head ON profil AS A light twin ; wing level AT left side OF MY windshield AT alt . I reach yoke TO break right ; ( f/o state later HE wa about TO also ) but saw twin make A veri steep right bank ; I state ; 'he 'S go TO miss US ! ' twin pass MY left slide window show US hi undersid . AS I smt Y look aft ; HE appear TO level hi wing appear TO pass behind US . I state TO atc ; 'damn ; that wa too close ; ' atc answer TO effect that HE hope target US visual . I believ that atc felt ; same AS I did ; that ON first callout there would BE NO conflict ; ( IE ; smt Y hdg SW would put him far TO right when path converg ) . HE realiz prob when HE saw target turn W clb ; but did not have time TO vector US . I feel that hi action IN keep US inform wa about all HE could DO . ,LGT ON IFR ARR ROUTE WAS GIVEN TRAFFIC ON UNK-SMT B WHO LATER TOOK EVASIVE ACTION MISS THE LGT.
8,4000,3,WE WERE DSNDED DOWN TO 4000' MSL. DSCNT CHKLIST WERE COMPLETE; ALTIMETERS SET TO BDL SETTINGS. CAPT'S AND COPLT'S ALTIMETERS WERE WITHIN +/-25'. WHILE LEVEL AT 4000' APPROX 3 MI S OF ARPT; APCH CALLED TFC 11:30-12 O'CLOCK POS; 3500' AND 2 MI. WE RESPONDED; 'NO JOY.' 30 SECS LATER WE; COPLT AND MYSELF; SPOTTED TFC 12 O'CLOCK AT OUR ALT LESS THAN 1000' PASSING W TO E. WE HARDBANKED LEFT; HE DID THE SAME; PASSING OFF RIGHT WING TIP. APCH ASKED THE ACFT; A TWIN ENG SMT; WHAT HIS ALT WAS. NO ANSWER. HE ASKED AGAIN; NO ANSWER. WE WERE SWITCHED OVER TO TWR CTL AND HEARD NOTHING MORE. FLT CREWS FIRST LEG TOGETHER WITH NO PROBS. THE WX WAS A LOW LYING HAZE; TOPS ABOUT 2000'. WHY THEN DIDN'T WE SEE THE TFC? THREE SETS OF EYES WERE LOOKING FOR HIM. BETTER YET; WHY DIDN'T HE SEE US? ALL LIGHTS WERE ON ON A FAIRLY LARGE ACFT (LGT)? CORRECTIVE ACTION TO THE LEFT BECAUSE OF HIS DIRECTION OF FLT. IF WE TURNED RIGHT IT WOULD HAVE BEEN DISASTROUS. IT SEEMS A TCA WOULD HAVE DEFINITELY HELPED. I THINK ATC IS CUTTING ACFT TOO CLOSE TO ACCOMMODATE TOO MANY ACFT AT ONE TIME--ESPECIALLY GA AND TRANSPORT. THEY MUST REMEMBER WHO PAYS TO USE THE ARPTS AND GIVE PRIORITY TO THE TRANSPORTS. LET'S RECOMMEND TO KEEP THE F/E'S POS FOR IF EVEN THE SIMPLE FACT OF 3 SETS OF EYES ARE BETTER THAN 2. IN THIS CASE; IT PROBABLY WOULD HAVE ENDED IN TRAGEDY W/O ONE.,lgt smt have near midair collis . WE dsnded down TO 4000 ' msl . dscnt chklist complet ; altimet set TO bdl set . capt 'S coplt 'S altimet within +/-25 ' . level AT 4000 ' approx 3 MI S OF arpt ; apch call tfc 11:30-12 o'clock po ; 3500 ' 2 MI . WE respond ; 'no joy . ' 30 sec later WE ; coplt myself ; spot tfc 12 o'clock AT alt 1000 ' pass W TO E. WE hardbank left ; HE did same ; pass off right wing tip . apch ask acft ; A twin eng smt ; what hi alt wa . NO answer . HE ask again ; NO answer . WE switch over TO twr ctl heard noth more . flt crew first leg togeth NO prob . WX wa A low ly haze ; top about 2000 ' . whi then did n't WE see tfc ? three set OF eye look him . better yet ; whi did n't HE see US ? all light ON ON A fairli larg acft ( lgt ) ? correct action TO left becaus OF hi direct OF flt . IF WE turn right IT would have been disastr . IT seem A tca would have definit help . I think atc IS cut acft too close TO accommod too mani acft AT one time -- especi GA transport . they must rememb who pay TO use arpt give prioriti TO transport . let 'S recommend TO keep f/e 'S po IF even simpl fact OF 3 set OF eye are better 2 . IN thi case ; IT probabl would have end IN tragedi w/o one . ,LGT AND SMT HAVE NEAR MIDAIR COLLISION.
9,5000,15,APCH SAID TO SLOW TO 210K. WE ASKED FOR A LOWER ALT; APCH SAID AFTER SLOWING; DESCEND TO 5000'. APCH LATER SAID HE WOULD 'BOX US IN FROM THE NORTH SIDE'. I SAW ANOTHER ACFT COMING FROM THE LEFT; (WHO WAS ON LOC AT 5000) I ASKED APCH SEVERAL TIMES ABOUT THIS OTHER ACFT; BUT HE WAS TOO BUSY TO RESPOND. ONCE HE DID RESPOND HE ABRUPTLY SAID MAINTAIN 6000'.WE WERE AT 5600' DESCENDING AND CLIMBED BACK TO 6000'. MY GUESS IS THAT MOST ACFT WERE DESCENDING TO 5000 AND WHEN GIVING US THAT CLRNC THE CTLR DID NOT EXPECT TO HAVE TO SEND US THROUGH THE LOC.,close prox acr mlg unk ON il apch TO bdl . apch said TO slow TO 210k . WE ask A lower alt ; apch said after slow ; descend TO 5000 ' . apch later said HE would 'box US IN north side ' . I saw anoth acft come left ; ( who wa ON loc AT 5000 ) I ask apch sever time about thi other acft ; but HE wa too busi TO respond . onc HE did respond HE abruptli said maintain 6000'.we AT 5600 ' descend climb back TO 6000 ' . MY guess IS that most acft descend TO 5000 when give US that clrnc ctlr did not expect TO have TO send US through loc . ,CLOSE PROX ACR MLG AND UNK ON ILS APCH TO BDL.
