,before,after
0,HELICOPTER,helicopt
1,ENCOUNTERED,encount
2,SMA,sma
3,ACFT,acft
4,IN,IN
5,SEE,see
6,AND,and
7,AVOID,avoid
8,SITUATION,situat
9,.,.
10,TOOK,took
11,EVASIVE,evas
12,ACTION,action
13,.,.
14,F/O,f/o
15,FLYING,fli
16,ACFT,acft
17,FROM,from
18,LEFT,left
19,SEAT,seat
20,.,.
21,BLUE,blue
22,AND,and
23,WHITE,white
24,SMA,sma
25,APPEARED,appear
26,FROM,from
27,BEHIND,behind
28,LEFT,left
29,DOOR,door
30,POST,post
31,.,.
32,SMA,sma
33,WAS,wa
34,LEVEL,level
35,WITH,with
36,AND,and
37,APCHING,apch
38,FROM,from
39,HELI,heli
40,10,10
41,O'CLOCK,o'clock
42,POS,po
43,.,.
44,PF,PF
45,SPOTTED,spot
46,SMA,sma
47,;,;
48,ALERTED,alert
49,OTHER,other
50,PLT,plt
51,WHILE,while
52,MAKING,make
53,RIGHT,right
54,EVASIVE,evas
55,TURN,turn
56,.,.
57,CAPT,capt
58,INITIATED,initi
59,IMMEDIATE,immedi
60,DES,de
61,;,;
62,F/O,f/o
63,CONTINUED,continu
64,TO,TO
65,FLY,fli
66,THE,the
67,ACFT,acft
68,.,.
69,SMA,sma
70,PASSED,pass
71,DIRECTLY,directli
72,OVER,over
73,HELI,heli
74,WITH,with
75,VERT,vert
76,SEP,sep
77,OF,OF
78,150,150
79,','
80,.,.
81,HELI,heli
82,CREWMEMBERS,crewmemb
83,DID,did
84,NOT,not
85,OBSERVE,observ
86,ANY,ani
87,ATTITUDE,attitud
88,;,;
89,HDG,hdg
90,OR,OR
91,ALT,alt
92,CHANGE,chang
93,IN,IN
94,THE,the
95,SMA,sma
96,.,.
97,FLT,flt
98,CONTINUED,continu
99,TO,TO
100,JFK,jfk
101,W/O,w/o
102,INCIDENT,incid
103,.,.
104,CLOSE,close
105,PROX,prox
106,GA-SMA,ga-sma
107,GA-SMT,ga-smt
108,ON,ON
109,V106,v106
110,.,.
111,WHILE,while
112,LEVEL,level
113,AT,AT
114,4500,4500
115,','
116,;,;
117,HDG,hdg
118,246,246
119,DEGS,deg
120,ON,ON
121,VICTOR,victor
122,106,106
123,DIRECTLY,directli
124,INTO,into
125,THE,the
126,SUN,sun
127,;,;
128,BRADLEY,bradley
129,APCH,apch
130,CTL,ctl
131,INSTRUCTED,instruct
132,ME,ME
133,TO,TO
134,'TURN,'turn
135,RIGHT,right
136,HDG,hdg
137,330,330
138,DEGS,deg
139,FOR,for
140,VECTORS,vector
141,AROUND,around
142,TFC,tfc
143,.,.
144,','
145,WHILE,while
146,TURNING,turn
147,RIGHT,right
148,FROM,from
149,A,A
150,HDG,hdg
151,OF,OF
152,246,246
153,DEGS,deg
154,TO,TO
155,HDG,hdg
156,330,330
157,DEGS,deg
158,;,;
159,WELL,well
160,INTO,into
161,THE,the
162,RIGHT,right
163,HAND,hand
164,TURN,turn
165,;,;
166,THE,the
167,CONVERGING,converg
168,TFC,tfc
169,APPEARED,appear
170,;,;
171,TAKING,take
172,UP,UP
173,THE,the
174,MAJORITY,major
175,OF,OF
176,THE,the
177,WINDSHIELD,windshield
178,OF,OF
179,THE,the
180,SMA,sma
181,I,I
182,WAS,wa
183,FLYING,fli
184,;,;
