,Altitude,Primary Problem
0,2500,Human Factors
1,4500,Human Factors
2,800,Human Factors
3,3500,Human Factors
4,1800,Human Factors
5,5000,Human Factors
6,,Aircraft
7,3600,Human Factors
8,4000,Human Factors
9,16000,Human Factors
10,10700,Human Factors
11,4000,Human Factors
12,5000,Human Factors
13,1500,Human Factors
14,3000,Human Factors
15,12500,Human Factors
16,16000,Human Factors
17,6400,Human Factors
18,100,Human Factors
19,16500,Human Factors
20,600,Human Factors
21,12000,Human Factors
22,5500,Human Factors
23,,Human Factors
24,5400,Human Factors
25,,Chart Or Publication
26,15500,Human Factors
27,5000,Human Factors
28,4000,Human Factors
29,2500,Human Factors
30,1500,Human Factors
31,21000,Human Factors
32,13000,Human Factors
33,4200,Human Factors
34,1000,Human Factors
35,6000,Human Factors
36,5000,Human Factors
37,2500,Human Factors
38,,Human Factors
39,3000,Human Factors
40,,Human Factors
41,,Human Factors
42,4700,Human Factors
43,8500,Human Factors
44,9500,Human Factors
45,1000,Human Factors
46,28000,Human Factors
47,200,Human Factors
48,1000,Ambiguous
49,26400,Human Factors
50,24300,Human Factors
51,31000,Human Factors
52,3000,Human Factors
53,25000,Human Factors
54,3500,Human Factors
55,1600,Human Factors
56,900,Ambiguous
57,,Human Factors
58,,Human Factors
59,5000,Human Factors
60,2800,Human Factors
61,19600,Human Factors
62,3000,Human Factors
63,3000,Human Factors
64,39000,Human Factors
65,35000,Human Factors
66,4500,Human Factors
67,1300,Human Factors
68,5000,Human Factors
69,2000,Human Factors
70,21000,Human Factors
71,3500,Human Factors
72,13000,Human Factors
73,4000,Human Factors
74,,Human Factors
75,9800,Human Factors
76,5000,Human Factors
77,7500,Human Factors
78,6900,Human Factors
79,2000,Human Factors
80,9200,Human Factors
81,9900,Human Factors
82,10000,Human Factors
83,20400,Human Factors
84,2900,Human Factors
85,10000,Human Factors
86,24000,Ambiguous
87,2800,Human Factors
88,6000,Human Factors
89,3500,Human Factors
90,,Human Factors
91,12400,Human Factors
92,18500,Human Factors
93,5400,Human Factors
94,19000,Human Factors
95,1200,Ambiguous
96,31000,Human Factors
97,33000,Human Factors
98,1100,Human Factors
99,,Human Factors
100,2500,Human Factors
101,31000,Human Factors
102,,Human Factors
103,28000,Human Factors
104,27000,Human Factors
105,5000,Human Factors
106,2000,Human Factors
107,,Human Factors
108,6000,Human Factors
109,200,Human Factors
110,,Human Factors
111,4000,Human Factors
112,3000,Human Factors
113,2000,Human Factors
114,2000,Human Factors
115,1700,Human Factors
116,13000,Human Factors
117,,Human Factors
118,1200,Human Factors
119,9000,Human Factors
120,1000,Human Factors
121,3500,Human Factors
122,2000,Human Factors
123,,Human Factors
124,28500,Human Factors
125,5300,Human Factors
126,5500,Human Factors
127,7000,ATC Equipment / Nav Facility / Buildings
128,2600,Human Factors
129,12000,Human Factors
130,6000,Human Factors
131,7800,Human Factors
132,4000,Human Factors
133,1000,Human Factors
134,5000,Human Factors
135,1000,Human Factors
136,6500,Human Factors
137,700,Human Factors
138,1100,Human Factors
139,12300,Human Factors
140,2300,Human Factors
141,1000,Human Factors
142,1100,Human Factors
143,5000,Human Factors
144,5700,Human Factors
145,8000,Human Factors
146,11000,Human Factors
147,11000,Human Factors
148,9000,Human Factors
149,,Human Factors
150,7000,Human Factors
151,1500,Human Factors
152,13500,Human Factors
153,,Human Factors
154,,Human Factors
155,38500,Human Factors
156,9900,Aircraft
157,1250,Human Factors
158,133,Human Factors
159,5000,Ambiguous
160,16000,Human Factors
161,8000,Human Factors
162,9000,Human Factors
163,,Human Factors
164,11000,Human Factors
165,4800,Human Factors
166,5500,Human Factors
167,11000,Human Factors
168,1900,Airport
169,,Human Factors
170,8000,Human Factors
171,7000,Human Factors
172,28000,Human Factors
173,12500,Human Factors
174,4000,Human Factors
175,9000,Human Factors
176,10000,Ambiguous
177,6000,Human Factors
178,,Human Factors
179,5000,Human Factors
180,2000,Human Factors
181,7000,Human Factors
182,9500,Human Factors
183,800,Human Factors
184,2500,Human Factors
185,2400,Human Factors
186,6000,
187,8000,Human Factors
188,6000,Human Factors
189,7500,Human Factors
190,10000,Human Factors
191,3500,Human Factors
192,,Human Factors
193,6000,Human Factors
194,5000,Human Factors
195,5000,Human Factors
196,5000,Human Factors
197,3000,Human Factors
198,3000,Human Factors
199,2500,Human Factors
200,2200,Human Factors
201,800,Ambiguous
202,,Human Factors
203,,Airport
204,2500,Human Factors
205,3000,Human Factors
206,3750,Human Factors
207,2400,Aircraft
208,,Human Factors
209,,Human Factors
210,14600,Human Factors
211,,Human Factors
212,,Human Factors
213,2000,Human Factors
214,1400,Human Factors
215,6700,Ambiguous
216,,Human Factors
217,12000,Human Factors
218,15000,Human Factors
219,1900,Ambiguous
220,1440,Human Factors
221,4000,Human Factors
222,,Human Factors
223,14000,Human Factors
224,21000,Human Factors
225,8000,Human Factors
226,5500,Human Factors
227,5700,Human Factors
228,11250,Human Factors
229,,Human Factors
230,6000,Human Factors
231,13000,Human Factors
232,,Human Factors
233,4500,Human Factors
234,3500,Human Factors
235,9000,Human Factors
236,15000,Human Factors
237,,Human Factors
238,14500,Human Factors
239,17000,
240,1000,Human Factors
241,6500,Human Factors
242,4000,Human Factors
243,4000,Human Factors
244,8000,Human Factors
245,17700,Human Factors
246,4000,Human Factors
247,8000,Human Factors
248,,Human Factors
249,8500,Human Factors
250,4000,Human Factors
251,1000,Human Factors
252,2400,Human Factors
253,,Human Factors
254,5000,Aircraft
255,1000,Human Factors
256,4500,Human Factors
257,3000,Human Factors
258,19000,Human Factors
259,9000,Human Factors
260,4500,Human Factors
261,4000,Human Factors
262,7000,Human Factors
263,22000,Human Factors
264,3000,Aircraft
265,10000,Aircraft
266,,Human Factors
267,4000,Aircraft
268,4000,Human Factors
269,2500,Human Factors
270,11000,Human Factors
271,2000,Human Factors
272,4500,Human Factors
273,,Human Factors
274,3000,Human Factors
275,6300,Human Factors
276,2000,ATC Equipment / Nav Facility / Buildings
277,15000,Human Factors
278,2000,Human Factors
279,10000,Aircraft
280,1000,Human Factors
281,6000,Human Factors
282,1100,Human Factors
283,,Human Factors
284,5000,Human Factors
285,2200,Human Factors
286,6500,Human Factors
287,4300,Human Factors
288,1100,Ambiguous
289,3000,Aircraft
290,,Human Factors
291,2000,Human Factors
292,1200,Human Factors
293,13000,Human Factors
294,500,Human Factors
295,,Human Factors
296,8000,Human Factors
