 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

81135,198801,0601-1200,BDR; 0N0,CT,360,9,,2500,VMC,15,,Daylight,,,,Corporate,Helicopter,,2,,None,Passenger,,Cruise; Cruise,Direct,Class E ZBW,,,,,,,,,,,,,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,None,,,Cruise; Cruise,,,,,,,,,,,,,,,Other Compensated GA,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 80; Flight Crew Total 5600,,,,81135,,,,Pilot Flying; First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,Conflict NMAC,Horizontal 0; Vertical 150,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"F/O FLYING ACFT FROM LEFT SEAT. BLUE AND WHITE SMA APPEARED FROM BEHIND LEFT DOOR POST. SMA WAS LEVEL WITH AND APCHING FROM HELI 10 O'CLOCK POS. PF SPOTTED SMA; ALERTED OTHER PLT WHILE MAKING RIGHT EVASIVE TURN. CAPT INITIATED IMMEDIATE DES; F/O CONTINUED TO FLY THE ACFT. SMA PASSED DIRECTLY OVER HELI WITH VERT SEP OF 150'. HELI CREWMEMBERS DID NOT OBSERVE ANY ATTITUDE; HDG OR ALT CHANGE IN THE SMA. FLT CONTINUED TO JFK W/O INCIDENT.",,,,"HELICOPTER ENCOUNTERED SMA ACFT IN SEE AND AVOID SITUATION. TOOK EVASIVE ACTION.",
81311,198801,1201-1800,BAF,MA,,22,,4500,VMC,,,Daylight,,,TRACON BDL,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,VFR,Training,,Cruise; Cruise,Direct; Airway V106,,,,,,,,,,,,,,,,,,Small Transport; Low Wing; 2 Recip Eng,,,,VFR,,,Cruise; Cruise,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 35; Flight Crew Total 230,,,,81311,,,,Approach,Air Traffic Control Fully Certified,,,,,,Conflict NMAC; Deviation - Procedural FAR,Horizontal 100,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"WHILE LEVEL AT 4500'; HDG 246 DEGS ON VICTOR 106 DIRECTLY INTO THE SUN; BRADLEY APCH CTL INSTRUCTED ME TO 'TURN RIGHT HDG 330 DEGS FOR VECTORS AROUND TFC.' WHILE TURNING RIGHT FROM A HDG OF 246 DEGS TO HDG 330 DEGS; WELL INTO THE RIGHT HAND TURN; THE CONVERGING TFC APPEARED; TAKING UP THE MAJORITY OF THE WINDSHIELD OF THE SMA I WAS FLYING; APPROX 20-30 YDS AWAY. I TOOK EVASIVE ACTION BY EXECUTING A QUICK CLBING RIGHT TURN. IT APPEARED THE SMT TOOK NO EVASIVE ACTION IN THIS INCIDENT. I BELIEVED THE SITUATION OCCURRED BECAUSE OF THE LIMITED VIS DUE TO THE SUN AND BECAUSE OF THE VECTOR BRADLEY APCH ISSUED ME. THE ALTIMETER SETTING I WAS GIVEN WAS 30-59 (BY BRADLEY); THE SMT WAS SAID TO BE VFR. I WAS SHOWING A LNDG LIGHT AT THE TIME AND I WAS TRANSPONDER EQUIPPED WITH MODE C. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING: THE RPTR FILED A NEAR MISS RPT WITH THE FAA AND HAS BEEN ADVISED THEY ARE CONTACTING THE OTHER PLT. RPTR HAS ALSO SENT A LETTER REQUESTING THE RESULTS OF THEIR INVESTIGATION. RPTR SAID HE MADE A STANDARD RATE TURN TO THE HDG ASSIGNED BY BDL AS SOON AS IT WAS GIVEN BUT DID NOT TRY TO TALK TO BDL ABOUT WHY THEY GAVE THE VECTOR.",,,,"CLOSE PROX GA-SMA GA-SMT ON V106.",
81663,198801,0601-1200,PYM,MA,,2,,800,VMC,40,,Daylight,,,,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2,,None,Training,,Landing; Landing; Initial Approach; Other Pattern,Visual Approach,Class G PYM,,,,,,,,,,,,,,,,,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,None,,,Initial Approach; Landing,Visual Approach,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 80; Flight Crew Total 295; Flight Crew Type 70,,,,81663,,,,Single Pilot; Pilot Flying,,,,,,,Conflict NMAC,Horizontal 0; Vertical 300,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach,,Human Factors,"I WAS INVOLVED IN A NMAC WHILE ON FINAL APCH TO RWY 24 AT PYM. I WAS CONDUCTING A PLT CHK FLT WITH A PVT PLT WISHING TO HAVE RENTAL PRIVILEGES AT THE FBO/FLT SCHOOL WHERE I AM A PART TIME CFI. I CAN ONLY ASSUME I WAS INVOLVED IN A MIDAIR NEAR MISS BECAUSE I NEVER HAD THE OTHER ACFT IN SIGHT. BUT; I ASSUME IT DID HAPPEN BASED ON THE STATEMENT OF THE PLT OF THE OTHER ACFT. WHILE TAXIING TO THE ACTIVE RWY I ATTEMPTED TO CONFIRM WITH THE PLYMOUTH UNICOM THAT THE ACFT RADIO WAS OPERATING PROPERLY. I NEVER RECEIVED A RESPONSE FROM THEM TO MY REQUEST FOR A RADIO CHK. I ASSUMED THE ACFT RADIO WAS NOT TRANSMITTING BUT DECIDED TO CONTINUE THE FLT SINCE USE OF A RADIO IS NOT REQUIRED AT UNCTLED ARPTS. TO HELP PLTS SEE US BETTER; I TURNED ON THE ACFT'S NAV; STROBE AND LNDG LIGHTS AND LEFT THEM ON THROUGHOUT THE FLT. ALSO; I DID BROADCAST MY POS ANYWAY WHILE OPERATING IN THE TFC PATTERN. DURING THE THIRD LNDG WE TURNED; AND AFTER BEING ESTABLISHED ON A BASE LEG I HEARD THE PLT OF AN SMA Y BROADCAST HE WAS ALSO ON BASE. I BEGAN TO LOOK FOR HIM. ONCE MY ACFT WAS ON FINAL; A FEW SECS LATER; I HEARD HIM BROADCAST THAT HE WAS GOING AROUND. AT THIS POINT I STILL DID NOT SEE SMA Y AND PROCEEDED WITH THE LNDG. ONCE ON THE RAMP AND AFTER HE SHUT DOWN; HE CAME OVER TO ME AND EXPLAINED HOW CLOSE WE HAD COME. HE ALSO TOLD ME THAT I SHOT OUT FROM UNDER HIM. SINCE WE WERE BOTH FLYING LOW WINGED ACFT; I CAN ONLY COME UP WITH ONE EXPLANATION. IF I WAS UNDER AND BEHIND HIM; I WOULD HAVE HAD TO SEE HIM. MY EXPLANATION IS THAT WE WERE ALREADY ON FINAL AND PROCEEDING TOWARD THE RWY AT ABOUT 70 KTS; THE FINAL APCH SPD OF SMA Y IS 63 KTS. THE SMA X WITH AN APCH SPD RECOMMENDED BY ACFT MFTR IS 75 KTS; WAS TURNING BASE TO FINAL. OUR SPD TOWARD THE RWY WOULD CERTAINLY SEEM LIKE WE OVERTOOK THE ACFT; BUT AT THAT TIME WE WOULD HAVE BEEN TRAVELING IN DIFFERENT DIRECTIONS. FORTUNATELY NO ACCIDENT OCCURRED. SINCE MY ACFT WAS UNDER THE SMA Y AND ON FINAL WE HAD THE RIGHT OF WAY. THE PLT OF THE SMA Y RPTED A NMAC RPT WITH THE NE FSDO OFFICE. SINCE I WAS IN THE RIGHT SEAT; THE BASE TO FINAL TURN WOULD HAVE POSITIONED THE ROOF OF THE SMA X TO BLOCK ANY TFC ABOVE US. OUR APCH SPDS WERE APPROX 70 KTS OR LOWER; SINCE I INSIST ON THIS WITH STUDENTS AND WAS PAYING PARTICULAR ATTN TO HOW THE PVT PLT I WAS CHKING WAS HANDLING THE ACFT. ALL 3 TIMES WE FLEW THE TFC PATTERN PROPER ALTS; TURNS; ETC; WERE MADE",,,,"CLOSE PROX 2 GA-SMA ACFT IN TRAFFIC PATTERN AT PLM.",
81862,198802,1201-1800,BED,MA,,15,,3500,VMC,,,Daylight,,,,FBO,Small Aircraft,,1,,None,Passenger,,Cruise; Cruise,,Special Use R-4102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 102; Flight Crew Type 75,,,,81862,,,,,,,,,,,Conflict NMAC; Other Airspace Violation Entry or Exit,Horizontal 100,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"WHILE ON CROSS-COUNTRY VFR FROM ORANGE; MA TO HANSCOM (BED); HAD NEAR COLLISION WITH PARACHUTIST AT OR NEAR RESTR AREA R-4102 A&B AT FT DEVENS; MA. I HAD A FULL PREFLT BRIEFING FROM THE BRIDGEPORT FSS WITH NOTAMS APPROX 1 HR PRIOR TO DEP. NO NOTAMS INDICATED THAT R-4102 A&B WAS/WERE ACTIVE. NORMAL ACTIVE DAY IS SAT ONLY. MANY PLTS THINK THAT THERE CAN BE NO ACTIVITY IN AN INACTIVE RESTR AREA. THE LEGEND ON AERONAUTICAL CHARTS SHOULD REMIND PLTS THAT SOME CIVILIAN OR MIL OPS ARE STILL POSSIBLE EVEN IN AN INACTIVE RESTR AREA. NO ACCIDENT RESULTED IN THIS INCIDENT; BUT VERT DSNDING PARACHUTES ARE VERY DIFFICULT TO SIGHT AND AVOID. I WAS ABLE TO MAKE A SHALLOW BANKED TURN TO AVOID THE PARACHUTE.",,,,"CLOSE PROX GA SMA AND PARACHUTIST IN RESTRICTED AREA THAT WAS ADVERTISED NOT ACTIVE.",
83153,198802,1201-1800,PVD,RI,,2,,1800,VMC,5,,Daylight,5000,,TRACON PVD; Tower PVD,Air Carrier,Medium Transport,,2,,IFR,Passenger,,Cruise; Other Pattern,Visual Approach; Vectors; Direct,Class C PVD; Class D PVD,,,,,,,,,,,,,,,,Corporate,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,None,Other Utility,,Cruise,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 160; Flight Crew Total 5800; Flight Crew Type 1000,,,,83153,,,,Pilot Flying; First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,ATC Issue All Types; Conflict NMAC,Horizontal 250; Vertical 0,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Took Evasive Action; General None Reported / Taken,,Human Factors,"UPON REACHING MADISON VOR WE REQUESTED CLRNC DIRECT TO PVD AND WERE ADVISED BY BOS CENTER THAT QUONSET WOULD ISSUE THAT CLRNC. WE CONTACTED QUONSET TRACON ON 133.85; REQUESTED AND WERE GRANTED 'DIRECT PVD.' AS OUR POS WAS SOMEWHAT S AND W OF THE ARPT; AND THE LNDG RWYS WERE 23L/23R; WE WERE GIVEN A VECTOR ON A 050 DEG HDG AND TOLD TO DSND TO 5000'; AT WHICH TIME ALL LNDG LIGHTS WERE ILLUMINATED. WE WERE THEN CLRED TO 2500'. UPON REACHING THE SITUATE RESERVOIR; APPROX 7 MI W OF THE ARPT; WE WERE TURNED OVER TO ANOTHER QUONSET CTLR ON 124.5. WE ADVISED THE CTLR THAT WE HAD THE ARPT IN SIGHT. HE TOLD US WE WERE CLRED FOR THE VISUAL TO RWY 23L AND TO STAY WITH HIM. AT THIS TIME; WE WERE ADVISED THAT THERE WAS TFC 2 MI N OF THE ARPT AT 1800'. NO FURTHER INFO ABOUT THIS ACFT WAS GIVEN. WE PROCEEDED INBND TO THE ARPT ON APPROX A 070 DEG HDG. AT THIS POINT WE WERE APPROX 1-2 NM W OF THE ARPT AND WERE UNABLE TO CONTACT THE CTLR WHO WAS TALKING TO ANOTHER ACFT. AT A POINT APPROX 2 MI N OF THE ARPT; AND ON APPROX A 075 DEG HDG; WE SAW SMA Y; APPARENTLY A TFC RPTR. AT THE TIME I SAW ACFT Y HE WAS AT OUR 12 O'CLOCK POS AND LESS THAN 1 MI; AT THE SAME ALT; OPP DIRECTION. WE ALTERED COURSE TO THE LEFT AND PASSED BY THE ACFT. AS SOON AS THIS HAD OCCURRED; QUONSET ADVISED US TO CONTACT PVD TWR FOR LNDG CLRNC. NO MENTION ABOUT ACFT Y. WHEN WE CAME UP ON THE TWR FREQ; 120.70; THE PLT OF Y WAS TALKING TO THE TWR ABOUT US. WE CALLED THE TWR; ADVISED THAT WE HAD JUST BEEN TURNED OVER TO HIM BY QUONSET. WE WERE CLRED TO LAND. AFTER LNDG; I CALLED BOTH PVD TWR AND QUONSET TRACON. THE TWR PERSONNEL SEEMED RATHER PUT OUT THAT QUONSET HAD NOT TURNED OUR FLT OVER TO THE TWR EARLIER. AT QUONSET TRACON I SPOKE TO THE WATCH SUPVR AND WAS ADVISED THAT A TRNEE HAD BEEN ON THE POS AND HAD BEEN RELIEVED SHORTLY AFTER THE INCIDENT.",,,,"LESS THAN STANDARD SEPARATON AND NMAC BETWEEN COMMUTER AND SMA ACFT. OPERATIONAL ERROR.",
83212,198803,0601-1200,MAO9,MA,,2,,5000,VMC,,,Daylight,,,,,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2,,None,Training,,Cruise,,Class G BOS,,,,,,,,,,,,,,,,,Small Transport; Low Wing; 2 Turboprop Eng,,2,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Instructor,Flight Crew Flight Instructor,Flight Crew Last 90 Days 200; Flight Crew Total 1000,,,,83212,,,,Trainee; Pilot Flying,Flight Crew Student,,,,,,Conflict NMAC; Deviation - Procedural FAR,Horizontal 450,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"THIS WAS AN AEROBATIC TRNING LESSON. OUR ACFT WAS JUST RECOVERING FROM A WING OVER (NOSE APPROX 10 DEGS BELOW HORIZON AND RISING; BANK APPROX 30 DEGS AND ROLLING OUT). AT THIS TIME MY STUDENT AND I SPOTTED THE SMT AT 12 O'CLOCK; GOING FROM RIGHT TO LEFT. HE WAS BEGINNING A RIGHT BANK. WE CONTINUED OUR RIGHT BANK AND PASSED WELL CLR. WHEN WE ARRIVED AT DISPATCH I WAS INFORMED THAT THE SMT HAD CALLED AND RPTED A NEAR MISS. HE ALSO COMPLAINED THAT WE WERE PRACTICING AEROBATICS IN A BUSY AREA. WE WERE CLR OF ALL ATA'S; TCA'S; CTL ZONES AND WERE MORE THAN 4 NM FROM THE NEAREST VICTOR ARWY. I DID NOT BELIEVE THIS WAS A NEAR MISS. NO UNUSUAL ACTION WAS REQUIRED TO AVOID THE SMT.",,,,"SMA CONDUCTING ACROBATIC TRAINING HAS NMAC WITH SMT.",
84554,198803,0601-1200,BED,MA,,1,0,,VMC,,,Daylight,,,Tower BED,,Small Aircraft; High Wing; 1 Eng; Retractable Gear,,1,,None,Passenger,,Initial Climb; Takeoff,,Class D BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Instrument,Flight Crew Last 90 Days 53; Flight Crew Total 385,,,,84554,,,,Local,Air Traffic Control Fully Certified,,,,,,Conflict NMAC; Ground Incursion Runway,,,Person Flight Crew,,General None Reported / Taken; General Declared Emergency,,Aircraft,"AIRPLANE AND ALL SYSTEMS (RADIOS; ETC) OPERATED NORMALLY AFTER START UP (ATIS INFO) DURING TAXI (GND CTL) AND RUNUP. WIND CONDITIONS WERE CALM AND RWY 5 WAS THE ACTIVE RWY. MINE WAS THE ONLY ACFT WAITING TO DEPART. TWR (118.50) CLRED ME FOR A LEFT DOWNWIND DEP. SHORTLY AFTER LIFTOFF AT APPROX 300' MSL SIMULTANEOUS WITH ATTEMPTED GEAR RETRACTION I NOTICED ELECTRICAL STATIC SOUND THROUGH THE HEADSET. THE LNDG GEAR HAD MOVED LITTLE IF AT ALL. I WAS UNABLE TO CONTACT THE TWR ON EITHER RADIO; TAKING THE ALTERNATOR OFF LINE TO A BATTERY ONLY STATUS STILL AFFORDED NO PWR. THERE WAS NO PWR TO ANY DASH INSTRUMENT INCLUDING GEAR LOCK INDICATIONS. THE ENG APPEARED TO BE OPERATING AT FULL PWR; BUT THE MASTER SWITCH FUSED (WELDED?) BEHIND THE PANEL AND COULD NOT BE MOVED. I MADE THE LEFT TURN TO THE LEFT DOWNWIND AS PREVIOUSLY CLRED AND BEGAN ROCKING THE WINGS IN AN ATTEMPT TO ATTRACT THE ATTN OF TWR PERSONNEL IN ORDER TO OBTAIN A LIGHT GUN LNDG CLRNC. THE TWR DID NOT OBSERVE THIS ACTION ON DOWNWIND. I DID NOT OBSERVE ANY OTHER TFC IN THE AREA AT THIS TIME. I TURNED XWIND BEYOND THE TWR AGAIN ROCKING THE WINGS ATTEMPTING TO GET THEIR ATTN AND THEN MANEUVERED BACK INTO THE LEFT DOWNWIND. ON THE DOWNWIND I WENT THROUGH THE EMER GEAR DOWN PROCS TO ASSURE THE LNDG GEAR WAS DOWN AND LOCKED. AGAIN THERE WAS NO TFC OBSERVED IN THE PATTERN OR ON THE ARPT TXWYS. UPON TURNING BASE TO FINAL I RECEIVED A STEADY GREEN LIGHT (THE ONLY LIGHT SIGNAL EVER GIVEN) FROM THE TWR AND I LANDED THE AIRPLANE W/O INCIDENT. A FIELD EMER TRUCK MET ME AT A RWY TURNOFF AND LED ME BACK TO THE RAMP. I WAS ASKED TO CONTACT THE TWR WHICH I DID IN PERSON. THE TWR SUPVR TOLD ME THAT AFTER I TOOK OFF THEY CHANGED THE ACTIVE RWY TO THE OTHER (RWY 23) AND I HAD LANDED ON THE WRONG RWY. I EXPLAINED WHAT HAD HAPPENED AND THAT I HAD NO WAY OF KNOWING THIS SINCE I HAD LOST ALL ELECTRICAL PWR AND HAD JUST DEPARTED THE THEN ACTIVE RWY 5. (I DON'T KNOW WHETHER OR NOT THEY BROADCAST THE RWY CHANGE.) WHEN ASKED WHETHER OR NOT I WANTED TO DECLARE AN EMER I WAS CONFUSED OVER WHAT TYPE OF OCCURRENCE ACTUALLY CONSTITUTES AN EMER. I PREFER TO VIEW THIS INCIDENT AS AN ABORTED TKOF/CLBOUT AND A PRECAUTIONARY RETURN FOR LNDG WITH A STEADY GREEN LIGHT LNDG CLRNC. REPAIRS TO THE ACFT INCLUDED REPLACEMENT OF THE MASTER SWITCH AND THE VOLTAGE REGULATOR.",,,,"GA SMA LOST ALL ELECTRICAL POWER AFTER TKOF AND HAD TO RETURN USING TWR SIGNAL LIGHT CTL.",
84821,198804,1201-1800,BDR,CT,,,,3600,VMC,,,Daylight,,,TRACON N90,Air Carrier,Medium Transport,,2,,IFR,Passenger,,Cruise; Cruise,,Class E N90,,,,,,,,,,,,,,,,,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,1,,,,,Climb,,,,,,,,,,,,,,,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 2780; Flight Crew Type 370,,,,84821,,,,Captain,Flight Crew Air Transport Pilot (ATP),,,,,,Conflict NMAC; Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy,Horizontal 50; Vertical 100,,Person Air Traffic Control,,Flight Crew Took Evasive Action,,Human Factors,"OVER BRIDGEPORT WE WERE NOTIFIED OF TFC 12 O'CLOCK; 3 MILES SWBOUND ALT READS 3600' NOT VERIFIED'. WE LOOKED BUT NOTHING TO BE SEEN. NEXT CALL WAS TFC ALERT WITH HEADING. TURNING IMMEDIATELY TO THE LEFT; BANK ANGLE APPROX 45 DEG; I SPOTTED THE TFC; AN SMA 100' BELOW US. HORIZONTAL DISTANCE LESS THAN 50'. HAD WE NOT CLIMBED AND TURNED; A COLLISION WOULD HAVE BEEN CERTAIN. THE PLT IN THE SMA NEVER SAW US. HE WAS IN A VFR CLIMB TO 4000! THE SAME ACFT CALLED IN 4 MIN LATER; VERIFYING HIS ALT. WHY HE WAS NOT VIOLATED; I DON'T KNOW. MAYBE HE HAS ONE COMING. ATC DID A GREAT JOB. ONE WAY OF PREVENTING VFR TFC FROM FLYING AT THE WRONG ALTS WOULD BE TO DECREASE THE TIME BETWEEN BIANNUALS AND ENSURING THAT THE FARS ARE STILL IN THE BACK OF ONES MIND BEFORE THEY FLY.",,,,"NMAC BETWEEN ACR MDT AND GA SMA.",
