index,Summary
0,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew’s mismanagement of the approach and multiple deviations from company standard operating procedures, which placed the airplane in an unsafe situation and led to an unstabilized approach, a descent below minimum descent altitude without visual contact with the runway environment, and an aerodynamic stall. Contributing to the accident were Execuflight’s casual attitude toward compliance with standards; its inadequate hiring, training, and operational oversight of the flight crew; the company’s lack of a formal safety program; and the Federal Aviation Administration’s insufficient oversight of the company’s training program and flight operations."
1,"The National Transportation Safety Board determines that the probable cause of this accident was the captain’s inability to maintain directional control of the airplane due to his application of excessive reverse thrust, which degraded the effectiveness of the rudder in controlling the airplane’s heading. Contributing to the accident were the captain’s (1) situational stress resulting from his concern about stopping performance and (2) attentional limitations due to the high workload during the landing, which prevented him from immediately recognizing the use of excessive reverse thrust."
2,"The NTSB determines that the probable cause of this accident was the pilot’s conduct of an approach in structural icing conditions without turning on the airplane’s wing and horizontal stabilizer deice system, leading to ice accumulation on those surfaces, and without using the appropriate landing performance speeds for the weather conditions and airplane weight, as indicated in the airplane’s standard operating procedures, which together resulted in an aerodynamic stall at an altitude at which a recovery was not possible."
3,"The NTSB determines that the probable cause of this accident was the flight crewmembers’ failure to perform the flight control check before takeoff, their attempt to take off with the gust lock system engaged, and their delayed execution of a rejected takeoff after they became aware that the controls were locked. Contributing to the accident were the flight crew’s habitual noncompliance with checklists, Gulfstream Aerospace Corporation’s failure to ensure that the G-IV gust lock/throttle lever interlock system would prevent an attempted takeoff with the gust lock engaged, and the Federal Aviation Administration’s failure to detect this inadequacy during the G-IV’s certification."
4,"The National Transportation Safety Board determines that the probable cause of this accident was Scaled Composites’ failure to consider and protect against the possibility that a single human error could result in a catastrophic hazard to the SpaceShipTwo vehicle. This failure set the stage for the copilot’s premature unlocking of the feather system as a result of time pressure and vibration and loads that he had not recently experienced, which led to uncommanded feather extension and the subsequent aerodynamic overload and in-flight breakup of the vehicle."
5,"The NTSB determines that the probable cause of this accident was National Airlines’ inadequate procedures for restraining special cargo loads, which resulted in the loadmaster’s improper restraint of the cargo, which moved aft and damaged hydraulic systems Nos. 1 and 2 and horizontal stabilizer drive mechanism components, rendering the airplane uncontrollable. Contributing to the accident was the FAA’s inadequate oversight of National Airlines’ handling of special cargo loads."
6,T
7,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's continuation of an unstabilized approach and their failure to monitor the aircraft's altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. Contributing to the accident were (1) the flight crew's failure to properly configure and verify the flight management computer for the profile approach; (2) the captain's failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crew's expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officer's failure to make the required minimums callouts; (5) the captain's performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officer's fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factors."
8,"The National Transportation Safety Board determines that the probable cause of this accident was the improper installation of the fuselage crown skin panel at the S-4L lap joint during the manufacturing process, which resulted in multiple site damage fatigue cracking and eventual failure of the lower skin panel. Contributing to the injuries was flight attendant A's incorrect assessment of his time of useful consciousness, which led to his failure to follow procedures requiring immediate donning of an oxygen mask when cabin pressure is lost."
9,"The NTSB determines that the probable causes of this accident were the pilot's failure to confirm that the helicopter had adequate fuel on board to complete the mission before making the first departure, his improper decision to continue the mission and make a second departure after he became aware of a critically low fuel level, and his failure to successfully enter an autorotation when the engine lost power due to fuel exhaustion. Contributing to the accident were (1) the pilot's distracted attention due to personal texting during safety-critical ground and flight operations, (2) his degraded performance due to fatigue, (3) the operator's lack of a policy requiring that an operational control center specialist be notified of abnormal fuel situations, and (4) the lack of practice representative of an actual engine failure at cruise airspeed in the pilot's autorotation training in the accident make and model helicopter."
10,"The NTSB determines that the probable cause of this accident was Sundance Helicopters' inadequate maintenance of the helicopter, including (1) the improper reuse of a degraded self-locking nut, (2) the improper or lack of installation of a split pin, and (3) inadequate postmaintenance inspections, which resulted in the in-flight separation of the servo control input rod from the fore/aft servo and rendered the helicopter uncontrollable. Contributing to the improper or lack of installation of the split pin was the mechanic's fatigue and the lack of clearly delineated maintenance task steps to follow. Contributing to the inadequate postmaintenance inspection was the inspector's fatigue and the lack of clearly delineated inspection steps to follow."
11,"The NTSB determines that the probable cause of this accident was the failure of a midspar fitting, which was susceptible to fatigue cracking and should have been replaced with a newer, more fatigue-resistant version of the fitting as required by an airworthiness directive. Also causal was an erroneous maintenance entry made by a previous aircraft owner, which incorrectly reflected that the newer fitting had been installed."
12,"The NTSB determines that the probable cause of this accident was an aerodynamic stall and subsequent uncommanded roll during an OEI takeoff flight test, which were the result of (1) Gulfstream's failure to properly develop and validate takeoff speeds for the flight tests and recognize and correct the V2 error during previous G650 flight tests, (2) the G650 flight test team's persistent and increasingly aggressive attempts to achieve V2 speeds that were erroneously low, and (3) Gulfstream's inadequate investigation of previous G650 uncommanded roll events, which indicated that the company's estimated stall AOA while the airplane was in ground effect was too high. Contributing to the accident was Gulfstream's failure to effectively manage the G650 flight test program by pursuing an aggressive program schedule without ensuring that the roles and responsibilities of team members had been appropriately defined and implemented, engineering processes had received sufficient technical planning and oversight, potential hazards had been fully identified, and appropriate risk controls had been implemented and were functioning as intended."
13,"The National Transportation Safety Board (NTSB) determines that the probable cause of this accident was the reduced stiffness of the elevator trim tab system that allowed aerodynamic flutter to occur at racing speeds. The reduced stiffness was a result of deteriorated locknut inserts that allowed the trim tab attachment screws to become loose and to initiate fatigue cracking in one screw sometime before the accident flight. Aerodynamic flutter of the trim tabs resulted in a failure of the left trim tab link assembly, elevator movement, high flight loads, and a loss of control. Contributing to the accident were the undocumented and untested major modifications to the airplane and the pilot's operation of the airplane in the unique air racing environment without adequate flight testing."
14,The National Transportation Safety Board determines that the probable cause of this incident was a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown and the captain‘s failure to monitor and extend the speedbrakes manually. Also causal was the failure of the thrust reversers to deploy when initially commanded. Contributing to the incident was the captain‘s failure to confirm speedbrake extension before announcing their deployment and his distraction caused by the thrust reversers‘ failure to initially deploy after landing.
15,"The National Transportation Safety Board determines that the probable cause of this accident was (1) the pilot's failure to ensure that a fuel system icing inhibitor was added to the fuel before the flights on the day of the accident; (2) his failure to take appropriate remedial actions after a low fuel pressure state (resulting from icing within the fuel system) and a lateral fuel imbalance developed, including diverting to a suitable airport before the fuel imbalance became extreme; and (3) a loss of control while the pilot was maneuvering the left-wing-heavy airplane near the approach end of the runway."
16,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's temporary unresponsiveness for reasons that could not be established from the available information. Contributing to the investigation's inability to determine exactly what occurred in the final minutes of the flight was the lack of a cockpit recorder system with the ability to capture audio, images, and parametric data."
17,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's decision to take off from a remote, mountainous landing site in dark (moonless) night, windy, instrument meteorological conditions. Contributing to the accident were an organizational culture that prioritized mission execution over aviation safety and the pilot's fatigue, self-induced pressure to conduct the flight, and situational stress. Also contributing to the accident were deficiencies in the NMSP aviation section's safety-related policies, including lack of a requirement for a risk assessment at any point during the mission; inadequate pilot staffing; lack of an effective fatigue management program for pilots; and inadequate procedures and equipment to ensure effective communication between airborne and ground personnel during search and rescue missions."
18,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance."
19,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's decision to attempt a go-around late in the landing roll with insufficient runway remaining. Contributing to the accident were (1) the pilots' poor crew coordination and lack of cockpit discipline; (2) fatigue, which likely impaired both pilots' performance; and (3) the failure of the Federal Aviation Administration (FAA) to require crew resource management (CRM) training and standard operating procedures (SOPs) for 14 CFR Part 135 operators."
20,"The National Transportation Safety Board determines that the probable causes of this accident were the following actions by Carson Helicopters: 1) the intentional understatement of the helicopter's empty weight, 2) the alteration of the power available chart to exaggerate the helicopter's lift capability, and 3) the practice of using unapproved above-minimum specification torque in performance calculations that, collectively, resulted in the pilots relying on performance calculations that significantly overestimated the helicopter's load-carrying capacity and did not provide an adequate performance margin for a successful takeoff; and insufficient oversight by the USFS and the Federal Aviation Administration (FAA)."
21,"The National Transportation Safety Board determines that the probable cause of this accident was (1) the inherent limitations of the see-and-avoid concept, which made it difficult for the airplane pilot to see the helicopter until the final seconds before the collision, and (2) the Teterboro Airport local controller's nonpertinent telephone conversation, which distracted him from his air traffic control (ATC) duties, including correcting the airplane pilot's read back of the Newark Liberty International Airport (EWR) tower frequency and the timely transfer of communications for the accident airplane to the EWR tower. Contributing to this accident were (1) both pilots' ineffective use of available electronic traffic information to maintain awareness of nearby aircraft, (2) inadequate Federal Aviation Administration (FAA) procedures for transfer of communications among ATC facilities near the Hudson River Class B exclusion area, and (3) FAA regulations that did not provide adequate vertical separation for aircraft operating in the Hudson River Class B exclusion area."
22,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's cessation of rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captain's training and experience."
23,"The National Transportation Safety Board determines that the probable cause of this accident was the ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administration's (FAA) approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captain's resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation."
24,"The National Transportation Safety Board determines that the probable cause of this accident was the operator's inadequate maintenance of the airplane's tires, which resulted in multiple tire failures during takeoff roll due to severe underinflation, and the captain's execution of a rejected takeoff (RTO) after V1, which was inconsistent with her training and standard operating procedures."
